TransactionID,CustomerID,ProductID,FechaCompra,Cantidad,MontoTotal,MedioPago
TXN-01756,CLI-0147,PRD-007,2024-04-05,4.0,239.96,Tarjeta Débito
TXN-00213,CLI-0171,PRD-006,2024-04-05,3.0,749.97,Tarjeta Crédito
TXN-00273,CLI-0111,PRD-013,2024-04-05,5.0,224.95,Transferencia
TXN-00231,CLI-0172,PRD-007,2024-04-05,1.0,59.99,Tarjeta Crédito
TXN-01325,CLI-0014,PRD-010,2024-04-05,4.0,139.96,Tarjeta Débito
TXN-01124,CLI-0081,PRD-004,2024-04-07,1.0,89.99,Efectivo
TXN-02475,CLI-0171,PRD-005,2024-04-07,4.0,1799.96,Efectivo
TXN-02159,CLI-0093,PRD-004,2024-04-08,5.0,449.95,Tarjeta Débito
TXN-01037,CLI-0038,PRD-024,2024-04-08,2.0,59.98,Transferencia
TXN-00867,CLI-0113,PRD-019,2024-04-08,1.0,109.99,Transferencia
TXN-02591,CLI-0198,PRD-017,2024-04-08,1.0,549.99,Tarjeta Débito
TXN-00345,CLI-0111,PRD-025,2024-04-08,3.0,29.97,PayPal
TXN-00096,CLI-0173,PRD-021,2024-04-08,1.0,24.99,Tarjeta Crédito
TXN-01850,CLI-0029,PRD-003,2024-04-08,1.0,29.99,Transferencia
TXN-02453,CLI-0099,PRD-003,2024-04-08,1.0,29.99,Tarjeta Crédito
TXN-01793,CLI-0019,PRD-014,2024-04-08,1.0,34.99,Tarjeta Crédito
TXN-02722,CLI-0120,PRD-023,2024-04-09,1.0,349.99,Efectivo
TXN-00458,CLI-0091,PRD-005,2024-04-09,4.0,1799.96,Tarjeta Débito
TXN-00128,CLI-0004,PRD-007,2024-04-09,2.0,119.98,Efectivo
TXN-01712,CLI-0052,PRD-009,2024-04-09,2.0,149.98,PayPal
TXN-00312,CLI-0113,PRD-003,2024-04-09,1.0,29.99,Tarjeta Crédito
TXN-00688,CLI-0090,PRD-010,2024-04-09,4.0,139.96,Transferencia
TXN-01971,CLI-0160,PRD-014,2024-04-09,1.0,34.99,Tarjeta Débito
TXN-02223,CLI-0005,PRD-014,2024-04-09,4.0,139.96,PayPal
TXN-01573,CLI-0110,PRD-024,2024-04-09,4.0,119.96,PayPal
TXN-02853,CLI-0169,PRD-016,2024-04-10,1.0,299.99,Transferencia
TXN-00740,CLI-0191,PRD-011,2024-04-10,5.0,64.95,PayPal
TXN-02347,CLI-0075,PRD-006,2024-04-10,2.0,499.98,Tarjeta Débito
TXN-00160,CLI-0132,PRD-008,2024-04-10,4.0,159.96,Efectivo
TXN-00021,CLI-0011,PRD-003,2024-04-10,2.0,59.98,Tarjeta Crédito
TXN-00985,CLI-0071,PRD-011,2024-04-10,3.0,38.97,Tarjeta Crédito
TXN-01694,CLI-0087,PRD-004,2024-04-10,2.0,179.98,Efectivo
TXN-02701,CLI-0051,PRD-006,2024-04-10,1.0,249.99,Transferencia
TXN-00467,CLI-0040,PRD-012,2024-04-11,2.0,39.98,Tarjeta Crédito
TXN-02581,CLI-0118,PRD-024,2024-04-11,2.0,59.98,Tarjeta Débito
TXN-00866,CLI-0056,PRD-020,2024-04-11,5.0,79.95,Tarjeta Crédito
TXN-01810,CLI-0183,PRD-012,2024-04-11,1.0,19.99,Tarjeta Débito
TXN-01559,CLI-0044,PRD-018,2024-04-11,5.0,74.95,Tarjeta Débito
TXN-02192,CLI-0129,PRD-003,2024-04-11,2.0,59.98,Transferencia
TXN-00424,CLI-0026,PRD-020,2024-04-11,1.0,15.99,Tarjeta Crédito
TXN-02544,CLI-0137,PRD-009,2024-04-11,4.0,299.96,Tarjeta Débito
TXN-01272,CLI-0162,PRD-008,2024-04-11,2.0,79.98,Tarjeta Débito
TXN-02643,CLI-0111,PRD-014,2024-04-11,1.0,34.99,Tarjeta Débito
TXN-00611,CLI-0183,PRD-008,2024-04-12,1.0,39.99,Tarjeta Crédito
TXN-02092,CLI-0084,PRD-003,2024-04-12,1.0,29.99,Tarjeta Débito
TXN-00830,CLI-0100,PRD-012,2024-04-12,1.0,19.99,Tarjeta Crédito
TXN-02622,CLI-0025,PRD-014,2024-04-12,2.0,69.98,PayPal
TXN-01262,CLI-0046,PRD-007,2024-04-12,2.0,119.98,Tarjeta Débito
TXN-02416,CLI-0116,PRD-009,2024-04-12,1.0,74.99,Efectivo
TXN-00907,CLI-0179,PRD-003,2024-04-12,2.0,59.98,Tarjeta Débito
TXN-01197,CLI-0046,PRD-007,2024-04-12,4.0,239.96,Transferencia
TXN-02710,CLI-0183,PRD-011,2024-04-12,2.0,25.98,Transferencia
TXN-00626,CLI-0084,PRD-001,2024-04-12,2.0,2599.98,PayPal
TXN-02007,CLI-0108,PRD-004,2024-04-12,2.0,179.98,Efectivo
TXN-01574,CLI-0077,PRD-009,2024-04-12,4.0,299.96,Tarjeta Crédito
TXN-01606,CLI-0095,PRD-001,2024-04-12,1.0,1299.99,Efectivo
TXN-01576,CLI-0106,PRD-010,2024-04-12,4.0,139.96,Tarjeta Débito
TXN-02703,CLI-0176,PRD-010,2024-04-12,4.0,139.96,Tarjeta Crédito
TXN-00014,CLI-0179,PRD-020,2024-04-12,2.0,31.98,PayPal
TXN-02638,CLI-0167,PRD-008,2024-04-12,1.0,39.99,Transferencia
TXN-00124,CLI-0004,PRD-002,2024-04-13,5.0,3499.95,PayPal
TXN-02058,CLI-0071,PRD-013,2024-04-13,4.0,179.96,Tarjeta Crédito
TXN-02300,CLI-0042,PRD-006,2024-04-13,1.0,249.99,Tarjeta Crédito
TXN-00505,CLI-0001,PRD-004,2024-04-13,1.0,89.99,Tarjeta Débito
TXN-00561,CLI-0005,PRD-018,2024-04-13,1.0,,PayPal
TXN-01796,CLI-0193,PRD-024,2024-04-13,5.0,149.95,Transferencia
TXN-01506,CLI-0002,PRD-016,2024-04-13,4.0,1199.96,PayPal
TXN-00254,CLI-0042,PRD-008,2024-04-14,2.0,79.98,Tarjeta Crédito
TXN-02982,CLI-0181,PRD-015,2024-04-14,1.0,399.99,Transferencia
TXN-02784,CLI-0067,PRD-007,2024-04-14,2.0,119.98,Tarjeta Débito
TXN-01607,CLI-0146,PRD-008,2024-04-14,5.0,199.95,PayPal
TXN-00922,CLI-0063,PRD-019,2024-04-14,4.0,439.96,PayPal
TXN-01133,CLI-0149,PRD-020,2024-04-14,1.0,15.99,PayPal
TXN-01059,CLI-0135,PRD-014,2024-04-14,5.0,174.95,Tarjeta Débito
TXN-00183,CLI-0086,PRD-007,2024-04-14,1.0,59.99,Tarjeta Débito
TXN-02150,CLI-0197,PRD-018,2024-04-14,1.0,14.99,PayPal
TXN-01737,CLI-0193,PRD-018,2024-04-15,1.0,14.99,Transferencia
TXN-00112,CLI-0074,PRD-004,2024-04-15,,179.98,Tarjeta Crédito
TXN-00368,CLI-0175,PRD-021,2024-04-15,2.0,49.98,Transferencia
TXN-00065,CLI-0116,PRD-008,2024-04-15,1.0,39.99,Transferencia
TXN-02542,CLI-0185,PRD-010,2024-04-16,1.0,34.99,Efectivo
TXN-01373,CLI-0053,PRD-011,2024-04-16,5.0,64.95,PayPal
TXN-02897,CLI-0188,PRD-007,2024-04-16,4.0,239.96,PayPal
TXN-01631,CLI-0080,PRD-022,2024-04-16,2.0,179.98,Tarjeta Crédito
TXN-00648,CLI-0049,PRD-025,2024-04-16,2.0,19.98,Tarjeta Crédito
TXN-00370,CLI-0076,PRD-004,2024-04-16,3.0,269.97,Tarjeta Débito
TXN-01739,CLI-0113,PRD-007,2024-04-16,1.0,59.99,Efectivo
TXN-00707,CLI-0056,PRD-018,2024-04-16,2.0,29.98,Efectivo
TXN-02355,CLI-0024,PRD-014,2024-04-17,3.0,104.97,Tarjeta Crédito
TXN-00647,CLI-0030,PRD-015,2024-04-17,1.0,399.99,Tarjeta Crédito
TXN-00398,CLI-0123,PRD-010,2024-04-17,2.0,69.98,PayPal
TXN-02322,CLI-0006,PRD-020,2024-04-17,1.0,15.99,PayPal
TXN-02750,CLI-0176,PRD-010,2024-04-17,1.0,34.99,Tarjeta Débito
TXN-00080,CLI-0057,PRD-009,2024-04-17,1.0,74.99,Tarjeta Crédito
TXN-02779,CLI-0078,PRD-018,2024-04-18,1.0,14.99,Tarjeta Crédito
TXN-02871,CLI-0185,PRD-011,2024-04-18,1.0,12.99,Efectivo
TXN-01276,CLI-0100,PRD-007,2024-04-18,3.0,179.97,PayPal
TXN-00134,CLI-0008,PRD-024,2024-04-18,1.0,29.99,PayPal
TXN-01384,CLI-0167,PRD-004,2024-04-18,2.0,179.98,Tarjeta Débito
TXN-00236,CLI-0185,PRD-007,2024-04-18,2.0,119.98,Tarjeta Débito
TXN-00132,CLI-0189,PRD-009,2024-04-18,1.0,74.99,Tarjeta Crédito
TXN-00716,CLI-0199,PRD-010,2024-04-18,4.0,139.96,Transferencia
TXN-00496,CLI-0152,PRD-001,2024-04-18,5.0,6499.95,Tarjeta Débito
TXN-00455,CLI-0050,PRD-005,2024-04-18,3.0,1349.97,Tarjeta Débito
TXN-00005,CLI-0026,PRD-009,2024-04-18,4.0,299.96,Tarjeta Débito
TXN-00529,CLI-0045,PRD-008,2024-04-18,1.0,39.99,Tarjeta Débito
TXN-00928,CLI-0030,PRD-001,2024-04-18,2.0,2599.98,Efectivo
TXN-01423,CLI-0042,PRD-021,2024-04-19,5.0,124.95,Tarjeta Crédito
TXN-01442,CLI-0002,PRD-007,2024-04-19,3.0,179.97,Transferencia
TXN-00131,CLI-0178,PRD-001,2024-04-19,1.0,1299.99,Transferencia
TXN-02283,CLI-0080,PRD-018,2024-04-19,1.0,14.99,Efectivo
TXN-02344,CLI-0003,PRD-011,2024-04-19,2.0,25.98,Tarjeta Crédito
TXN-02249,CLI-0008,PRD-008,2024-04-19,1.0,39.99,Tarjeta Débito
TXN-00572,CLI-0074,PRD-002,2024-04-19,1.0,699.99,Tarjeta Crédito
TXN-02374,CLI-0178,PRD-014,2024-04-19,3.0,104.97,Transferencia
TXN-02457,CLI-0179,PRD-005,2024-04-19,1.0,449.99,Tarjeta Crédito
